,name,category_code,tag_list,offices,zip_code,city,country_code,latitude,longitude
182,Radix Web,software,"web-development-company, offshore-software-development, offshore-web-development-company, web-development, web-design, web2print, web-to-print, programming, ecommerce-web-development-comapny","[{'zip_code': '90701', 'city': 'Artesia', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",90701,Artesia,USA,,
183,Global Business Development Services,public_relations,"business-development, project-management, web-development, web-design, business-plans, marketing-plans","[{'zip_code': '97520', 'city': 'Ashland', 'country_code': 'USA', 'latitude': 42.1827347, 'longitude': -122.7032759}]",97520,Ashland,USA,42.1827347,-122.7032759
184,CoffeeCup Software,software,"coffeecup, software, coffeecup-software, web, design, web-design, responsive, responsive-web, responsive-web-design","[{'zip_code': '30303', 'city': 'Atlanta', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",30303,Atlanta,USA,,
185,CoffeeCup Software,software,"coffeecup, software, coffeecup-software, web, design, web-design, responsive, responsive-web, responsive-web-design","[{'zip_code': '30303', 'city': 'Atlanta', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",30303,Atlanta,USA,,
186,Medianomic,advertising,"seo, ppc, website-consulting, website-optimization, website-design, website-development","[{'zip_code': '30313', 'city': 'Atlanta', 'country_code': 'USA', 'latitude': 33.764877, 'longitude': -84.397325}]",30313,Atlanta,USA,33.764877,-84.397325
187,Wiretree,other,"interactive-experiences, design, technology, development, studio, business-prototype, flash, stragegy","[{'zip_code': '', 'city': 'Atlanta', 'country_code': 'USA', 'latitude': 33.754487, 'longitude': -84.389663}]",,Atlanta,USA,33.754487,-84.389663
188,Atlanta Sky,,,"[{'zip_code': '30319', 'city': 'Atlanta', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",30319,Atlanta,USA,,
189,Huge,consulting,"digital, web, design, research, marketing, mobile, seo, user-experience, ux, social-media, ecommerce, development, technology, analytics, production, film, audio","[{'zip_code': '11201', 'city': 'Brooklyn', 'country_code': 'USA', 'latitude': 40.7028474, 'longitude': -73.9906813}, {'zip_code': '90048', 'city': 'Los Angeles', 'country_code': 'USA', 'latitude': 34.167304, 'longitude': -118.373614}, {'zip_code': 'SW3 3XB', 'city': 'London', 'country_code': 'GBR', 'latitude': 51.4920878, 'longitude': -0.1652217}, {'zip_code': '089762', 'city': 'Singapore', 'country_code': 'SGP', 'latitude': None, 'longitude': None}, {'zip_code': '22640-102', 'city': 'Rio de Janeiro, RJ', 'country_code': 'BRA', 'latitude': None, 'longitude': None}, {'zip_code': '30305', 'city': 'Atlanta', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'zip_code': '94111', 'city': 'San Francisco', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'zip_code': '97214', 'city': 'Portland', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'zip_code': '20009', 'city': 'Washington', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'zip_code': '30305', 'city': 'Atlanta', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",30305,Atlanta,USA,,
190,SEO Workers,consulting,"seo, local, organic, search-engine-optimization, internet-marketing, end-searcher-optimization, ppc, link-building, web-design, accessibility, usability, articles, tutorials-tools","[{'zip_code': '86159', 'city': 'Augsburg', 'country_code': 'DEU', 'latitude': 48.333702, 'longitude': 10.90602}]",86159,Augsburg,DEU,48.333702,10.90602
191,SnapPages,web,"website, design, creation","[{'zip_code': '78729', 'city': 'Austin', 'country_code': 'USA', 'latitude': 30.443493, 'longitude': -97.77512}]",78729,Austin,USA,30.443493,-97.77512
192,SnapPages,web,"website, design, creation","[{'zip_code': '78729', 'city': 'Austin', 'country_code': 'USA', 'latitude': 30.443493, 'longitude': -97.77512}]",78729,Austin,USA,30.443493,-97.77512
193,302designs,other,"e-commerce, eco-friendly, t-shirts, clothing","[{'zip_code': '78702', 'city': 'Austin', 'country_code': 'USA', 'latitude': 30.264491, 'longitude': -97.728453}]",78702,Austin,USA,30.264491,-97.728453
194,Devnet,consulting,"webdesign, website-development, email-marketing, content-management-systems","[{'zip_code': '4005', 'city': 'BRISBANE', 'country_code': 'AUS', 'latitude': -27.458989, 'longitude': 153.043228}]",4005,BRISBANE,AUS,-27.458989,153.043228
